,"Scalar B, nT","SW Plasma Temperature, K","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Alpha/Prot. ratio,Flow pressure,Kp index,R (Sunspot No.),"Dst-index, nT",f10.7_index
2019-12-01,3.9,43512.0,9.6,361.0,0.013,2.23,7,0.0,-5,69.2
2019-12-02,3.0,20822.0,9.1,334.0,0.009,1.78,3,0.0,-3,68.4
2019-12-03,2.2,15066.0,9.3,311.0,0.009,1.56,3,0.0,-3,67.9
2019-12-04,3.1,21694.0,15.1,309.0,0.006,2.49,7,0.0,1,67.6
2019-12-05,3.0,26405.0,11.4,324.0,0.007,2.06,3,0.0,1,68.6
2019-12-06,3.9,64651.0,5.7,364.0,0.014,1.32,7,0.0,-4,68.3
2019-12-07,4.0,49626.0,3.8,359.0,0.014,0.87,3,0.0,-4,68.2
2019-12-08,4.2,49120.0,5.3,354.0,0.017,1.21,7,0.0,-3,69.4
2019-12-09,4.1,42373.0,7.3,343.0,0.018,1.53,7,0.0,-5,68.6
2019-12-10,5.9,98099.0,7.3,414.0,0.017,2.23,10,0.0,-1,68.4
2019-12-11,4.4,82347.0,5.0,432.0,0.026,1.76,13,0.0,-3,68.6
2019-12-12,3.7,66458.0,4.0,398.0,0.017,1.11,7,0.0,-4,68.3
2019-12-13,3.3,51385.0,4.7,373.0,0.012,1.15,7,0.0,-6,66.8
2019-12-14,5.3,47871.0,6.4,364.0,0.013,1.5,3,0.0,0,68.1
2019-12-15,5.6,69472.0,4.8,383.0,0.011,1.26,10,0.0,-4,68.8
2019-12-16,3.6,49646.0,3.1,370.0,0.016,0.82,3,0.0,-8,67.7
2019-12-17,2.9,31148.0,7.8,352.0,0.006,1.66,3,0.0,-3,68.2
2019-12-18,6.6,161617.0,9.4,468.0,0.026,3.33,23,0.0,-4,68.0
2019-12-19,4.2,115581.0,4.8,508.0,0.026,2.28,23,0.0,-20,67.7
2019-12-20,3.3,64135.0,4.3,453.0,0.016,1.56,13,0.0,-15,69.7
2019-12-21,3.8,49723.0,4.7,385.0,0.012,1.26,10,0.0,-13,68.4
2019-12-22,4.8,36150.0,4.7,340.0,0.012,0.95,7,0.0,-13,68.7
2019-12-23,4.1,51382.0,4.8,351.0,0.012,1.05,7,0.0,-13,70.2
2019-12-24,4.0,32336.0,5.7,320.0,0.01,1.02,3,16.0,-7,70.3
2019-12-25,4.2,28680.0,10.7,331.0,0.007,2.06,7,23.0,-1,69.8
2019-12-26,5.0,79492.0,8.5,375.0,0.014,2.06,10,10.0,-2,69.7
2019-12-27,3.9,53858.0,5.9,371.0,0.01,1.41,3,0.0,-3,70.1
2019-12-28,3.4,38546.0,6.4,345.0,0.009,1.33,3,0.0,-3,69.8
2019-12-29,4.1,22298.0,9.1,309.0,0.005,1.47,0,0.0,-3,69.6
2019-12-30,5.6,20010.0,13.3,298.0,0.004,2.02,3,0.0,3,68.6
2019-12-31,4.3,25823.0,13.7,306.0,0.006,2.23,7,0.0,0,68.2
2020-01-01,3.8,31822.0,9.2,318.0,0.014,1.64,7,6.0,2,69.4
2020-01-02,3.4,35998.0,8.0,333.0,0.011,1.51,3,12.0,1,69.5
2020-01-03,5.6,69788.0,10.3,354.0,0.011,2.21,13,13.0,-2,68.9
2020-01-04,5.5,43423.0,4.0,383.0,0.011,1.06,13,12.0,-12,69.8
2020-01-05,8.7,97662.0,9.1,389.0,0.017,2.52,20,14.0,-8,69.4
2020-01-06,3.9,108093.0,3.6,496.0,0.025,1.63,17,7.0,-11,68.1
2020-01-07,3.2,62078.0,5.0,433.0,0.024,1.71,10,4.0,-7,69.3
2020-01-08,4.3,47508.0,4.1,386.0,0.015,1.09,13,4.0,-11,71.2
2020-01-09,6.4,111653.0,5.4,446.0,0.02,1.92,23,15.0,-21,71.9
2020-01-10,4.4,119082.0,3.6,508.0,0.03,1.72,13,4.0,-12,70.4
2020-01-11,4.6,79116.0,3.6,432.0,0.018,1.18,13,0.0,-10,71.0
2020-01-12,3.1,85704.0,3.5,404.0,0.015,1.02,7,0.0,-9,69.5
2020-01-13,3.4,29912.0,5.6,355.0,0.017,1.24,3,0.0,-4,69.1
2020-01-14,4.1,25098.0,6.3,325.0,0.007,1.17,3,0.0,-4,69.5
2020-01-15,4.1,30607.0,11.3,320.0,0.006,1.94,7,0.0,-1,68.9
2020-01-16,3.9,63119.0,8.9,347.0,0.016,1.79,10,0.0,-4,69.4
2020-01-17,3.1,16405.0,9.8,325.0,0.006,1.77,7,0.0,0,67.9
2020-01-18,3.1,26196.0,9.8,331.0,0.011,1.86,7,0.0,1,69.0
2020-01-19,2.7,31248.0,6.6,325.0,0.015,1.22,0,0.0,1,69.5
2020-01-20,2.1,21979.0,5.6,299.0,0.011,0.88,0,0.0,-1,69.0
2020-01-21,4.7,38205.0,12.6,312.0,0.007,2.14,13,0.0,0,68.3
2020-01-22,6.0,71390.0,8.0,347.0,0.014,1.72,13,0.0,-10,69.6
2020-01-23,4.1,38082.0,7.0,335.0,0.011,1.42,10,0.0,-11,68.6
2020-01-24,3.4,24115.0,8.1,318.0,0.005,1.39,3,8.0,-5,68.8
2020-01-25,4.0,32734.0,10.6,302.0,0.008,1.66,3,12.0,1,70.4
2020-01-26,2.8,26882.0,11.6,300.0,0.007,1.82,7,19.0,3,72.4
2020-01-27,3.3,28789.0,6.9,311.0,0.014,1.17,3,14.0,1,70.7
2020-01-28,4.1,29428.0,11.4,323.0,0.007,2.07,10,12.0,0,72.0
2020-01-29,5.6,94893.0,5.5,399.0,0.021,1.56,20,12.0,-14,72.0
2020-01-30,5.3,84840.0,5.1,415.0,0.011,1.58,27,12.0,-14,71.9
2020-01-31,5.0,115555.0,2.6,475.0,0.025,1.1,17,12.0,-18,71.7
2020-02-01,4.2,76408.0,3.7,434.0,0.018,1.28,13,6.0,-14,70.4
2020-02-02,3.8,86762.0,4.0,420.0,0.015,1.25,13,0.0,-10,70.2
2020-02-03,3.5,38720.0,5.6,372.0,0.026,1.42,10,0.0,-12,70.0
2020-02-04,4.8,44058.0,7.9,357.0,0.017,1.79,13,0.0,-5,68.3
2020-02-05,4.7,67733.0,3.8,349.0,0.022,0.88,10,0.0,-10,68.6
2020-02-06,7.6,152785.0,8.4,459.0,0.029,3.26,27,0.0,-10,69.3
2020-02-07,4.0,166962.0,2.9,589.0,0.051,2.09,27,0.0,-14,68.9
2020-02-08,3.4,90756.0,2.3,494.0,0.046,1.11,13,0.0,-20,70.0
2020-02-09,3.7,70316.0,3.9,426.0,0.045,1.42,17,0.0,-14,68.8
2020-02-10,3.5,46526.0,5.7,391.0,0.029,1.59,13,0.0,-8,68.3
2020-02-11,3.8,53958.0,7.4,398.0,0.014,2.01,13,0.0,-8,69.3
2020-02-12,3.5,61061.0,7.5,382.0,0.016,1.99,10,0.0,-6,69.8
2020-02-13,2.6,30532.0,5.4,348.0,0.008,1.28,3,0.0,-4,69.4
2020-02-14,2.7,19645.0,9.1,336.0,0.007,1.77,3,0.0,0,69.5
2020-02-15,4.0,35542.0,8.8,334.0,0.019,1.78,10,0.0,1,68.8
2020-02-16,3.4,41316.0,5.8,336.0,0.018,1.18,7,0.0,-6,68.8
2020-02-17,3.9,34497.0,7.8,330.0,0.014,1.49,13,0.0,-8,69.0
2020-02-18,8.3,55397.0,9.5,375.0,0.014,2.41,27,0.0,-33,69.4
2020-02-19,5.9,104431.0,5.5,441.0,0.042,1.91,23,0.0,-30,69.4
2020-02-20,4.4,58689.0,5.9,406.0,0.026,1.75,17,0.0,-19,69.2
2020-02-21,5.8,108068.0,5.5,453.0,0.045,2.2,27,0.0,-20,69.6
2020-02-22,3.6,98117.0,3.1,482.0,0.046,1.42,20,0.0,-18,70.7
2020-02-23,4.1,62480.0,3.1,430.0,0.037,1.09,10,0.0,-15,68.8
2020-02-24,4.1,51480.0,2.9,396.0,0.038,0.87,10,0.0,-17,68.7
2020-02-25,3.9,22902.0,2.4,356.0,0.019,0.53,3,0.0,-10,69.1
2020-02-26,4.6,33585.0,7.5,339.0,0.013,1.52,7,0.0,-3,68.7
2020-02-27,3.0,46199.0,5.1,351.0,0.023,1.15,7,0.0,-8,69.6
2020-02-28,4.9,66853.0,7.6,368.0,0.014,1.85,13,0.0,-6,69.3
2020-02-29,5.9,157259.0,5.6,468.0,0.03,2.19,23,0.0,-11,68.8
2020-03-01,3.7,88746.0,2.8,454.0,0.022,1.08,13,0.0,-15,68.1
2020-03-02,4.2,84107.0,5.2,428.0,0.017,1.78,10,0.0,-9,68.1
