Cycle,Odd-Even,Variable,Mean,Median,Std,Min,Max,Shannon Entropy,Sample Entropy,Permutation Entropy,Spectral Entropy,Approximate Entropy,Higuchi Fractal Dimension,Katz Fractal Dimension,Petrosian Fractal Dimension,Lempel-Ziv complexity,Hurts exponent
20u,Even,"Scalar B, nT",5.756580128205128,5.3,2.1823604731926465,1.5,24.2,2.8934106972096547,1.6504227159526257,0.987590243146289,0.9565778512146299,1.5701937264382657,1.9226019889066666,2.7948669700648745,1.0298822116519841,308,0.5684442288052073
20d,Even,"Scalar B, nT",6.223769414984606,5.7,2.383228470665379,1.9,28.5,3.153525181187138,1.6461531725994996,0.9764038318357605,0.9548136978933258,1.729541351726601,1.90092558761373,3.1508476215934396,1.0247148128177876,693,0.5617891174898845
21u,odd,"Scalar B, nT",6.585671252715425,6.177000000000005,2.454076267779547,2.1,23.9,2.9176729886243358,1.7368751260668758,0.9831395034147837,0.9638821054121048,1.608267735359819,1.9253483741686372,3.087365428309261,1.0283641934488283,361,0.5377998993065449
21d,odd,"Scalar B, nT",7.322737032569361,6.856,2.648781042075264,2.1,26.4,3.0897262821103366,1.7369485782804146,0.9815431984798499,0.9648794067941533,1.737575782919782,1.9266984930404316,3.307754115378929,1.0259743314464902,638,0.6166675080616444
22u,Even,"Scalar B, nT",7.087857269503546,6.6,2.4901028768298796,2.2,24.0,2.7541689625115255,1.7604540363090935,0.9829552030097494,0.9530088571095854,1.6071355595247248,1.9167681810384123,3.048556205375103,1.0290119498595562,306,0.6269622938614668
22d,Even,"Scalar B, nT",7.247015004055149,6.715,3.0508705216272647,2.3,34.6,3.094587423038828,1.4338696989789017,0.9827627823919742,0.9623463441379692,1.586395761861973,1.8925317279830924,2.9603175268922013,1.0261017462826392,626,0.6005649460209812
23u,odd,"Scalar B, nT",6.536546117769672,5.9,2.720001224052485,1.7,32.3,3.0112817227112734,1.6184168732530426,0.9760024043250994,0.9590849927616861,1.642025923855762,1.9298231906533287,2.923808740224245,1.025856695315766,495,0.5376763669099061
23d,odd,"Scalar B, nT",6.017387944358578,5.5,2.8365400794190627,1.3,33.4,2.9873177193225966,1.4383927437080803,0.9594896675850071,0.9434812179418571,1.6042313063077374,1.9155044448969398,3.136606634884239,1.0232695614360872,643,0.5948180892906016
24u,Even,"Scalar B, nT",4.961909650924024,4.5,2.089715282530956,1.6,20.2,2.925085977165257,1.5753509677318032,0.9715656474611211,0.947396074292736,1.617582897362004,1.927431575634941,3.1114860949457475,1.0252796167570517,449,0.5716522863982466
24d,Even,"Scalar B, nT",5.561419604056012,5.1,2.272389134784363,1.8,21.8,2.9229653265932467,1.6001136814091956,0.967450130679768,0.9471376187062653,1.6416076454976043,1.921717664402158,3.289500909786942,1.0248259828711217,493,0.5103134725890615
25u,odd,"Scalar B, nT",5.70271363893605,5.2,2.4422439101350837,1.7,26.0,2.9578064809909193,1.6089185422767658,0.982689726423715,0.9552378615559669,1.6075943383511566,1.9374303632888406,2.8814224121320327,1.0271682043882737,429,0.5343400194863921
20u,Even,"SW Plasma Temperature, K",84371.81764423077,74983.685,46678.814202406094,14792.0,408382.0,2.7575839325156783,1.622323971895795,0.9819003212451539,0.9417291146198074,1.5544036569795994,1.8809763806933262,3.2263585710200227,1.0285987489749033,1241,0.6214133292930375
20d,Even,"SW Plasma Temperature, K",125387.50716045161,94838.51,89908.32166693108,9500.0,798873.0,2.913926408712548,1.2900031601444308,0.9705103437108379,0.9051090026671041,1.5665206849199147,1.8106458628272946,3.049610482419495,1.0242835420072007,2889,0.5913810023044489
21u,odd,"SW Plasma Temperature, K",109834.48123099202,87234.0,79111.03958600188,15777.0,985748.0,2.695098638684995,1.3493769294491762,0.9736915158388852,0.9180759143278033,1.4945627336978116,1.8281626789254335,2.6190629765373235,1.027634112819559,1376,0.6825569660598106
21d,odd,"SW Plasma Temperature, K",118817.94963811821,106586.0,71353.26376019097,15810.0,501083.0,2.885466611557739,1.5584030048530346,0.9765091654305406,0.9212886224850633,1.6924354060039501,1.8346028618207992,3.5163818092349985,1.0255830979770026,2473,0.7075649954335376
22u,Even,"SW Plasma Temperature, K",115251.69726950354,104698.41,75197.82644811239,13109.0,911684.0,2.768330387370546,1.5313227965188745,0.9871014833307977,0.9235752717503589,1.4997533982601698,1.854022775190479,2.520967845078835,1.0301482849155816,1127,0.6676305293710841
22d,Even,"SW Plasma Temperature, K",120724.62486212491,99747.05,99406.5296634125,9629.0,2663920.0,2.9631212223995798,1.1988673120684454,0.9703590345022777,0.9564593193083171,1.4665940217290108,1.8195924269365766,2.034718158451206,1.0249508409571813,2454,0.6169398627261541
23u,odd,"SW Plasma Temperature, K",92529.54181865555,73649.0,68585.0200715157,10168.0,670232.0,2.8850683794769916,1.4161534721948008,0.9697548001820767,0.9458779159547848,1.5440732271626025,1.8854980018745104,3.1302992107823164,1.0255686766094563,1903,0.652669855504593
23d,odd,"SW Plasma Temperature, K",113390.91367078824,92786.0,85412.53257321683,7705.0,1488626.0,2.845634715106643,1.2581943353540677,0.9389821266418351,0.9154496756213493,1.5210759824420998,1.8600598386612968,2.380686261704289,1.022111885788794,2577,0.6076216575418786
24u,Even,"SW Plasma Temperature, K",74037.87782340862,56622.5,59752.954524786066,10256.0,748451.0,2.819356771290625,1.2369274226254836,0.9622263913298849,0.934200515189677,1.4708865989698165,1.8624866364064492,2.570161799088108,1.0248298823739517,1934,0.6285171489259384
24d,Even,"SW Plasma Temperature, K",88930.5050700145,69393.0,65372.53689355622,10064.0,757640.0,2.8079997190584884,1.2935478335402903,0.9492292460234628,0.9024663266819145,1.5226401506061018,1.827084209630004,2.8105883662840987,1.023896339061454,2061,0.6363282936756255
25u,odd,"SW Plasma Temperature, K",85969.11488398415,66405.0,69999.88508311097,10386.0,1136799.0,2.798714895395978,1.2152387660736679,0.9678745852134529,0.9472115851826589,1.4509174795645907,1.8693582330026355,2.3296516352489247,1.0258532003386271,1752,0.5945601707324875
20u,Even,"SW Proton Density, N/cm^3",6.3099687499999995,5.8,3.2392702681179273,0.6,29.0,2.7196233212236702,1.7715060661106716,0.9889987387347062,0.9536597301926252,1.6302406923940307,1.9047271836105966,3.1418910178305177,1.0298822116519841,372,0.6339231176459562
